user_id,avg_user_rating,ratings_count,tag_vocab_size,activity_score,segment
1,3.6666666666666665,3,231,0.023298590174290063,new
2,4.333333333333333,3,218,0.021842823097022426,new
3,1.0,2,189,0.015005599104143336,new
4,4.0,3,211,0.021058948516955237,new
5,3.5,2,136,0.009070548712206047,new
6,4.5,2,158,0.011534154535274356,new
7,3.7534246575342465,73,1086,0.3703253223074051,very_active
8,3.6666666666666665,3,237,0.02397048267149051,new
9,3.25,4,299,0.03450311539897206,new
10,3.769230769230769,13,552,0.09514227467194993,active
11,4.166666666666667,6,352,0.04761765297039652,inactive
12,4.0,2,161,0.01187010078387458,new
13,4.0,2,169,0.01276595744680851,new
14,4.0,2,182,0.014221724524076149,new
15,3.5,2,182,0.014221724524076149,new
16,3.3333333333333335,3,186,0.0182593964452867,new
17,5.0,2,99,0.004927211646136618,new
18,4.0,3,250,0.025426249748758144,new
19,3.142857142857143,21,687,0.13897780457690873,active
20,4.333333333333333,3,141,0.013220202716283342,new
21,3.5,4,227,0.026440405432566684,new
22,3.625,16,575,0.10848709334711573,active
23,2.948717948717949,39,885,0.22576564159990808,active
24,3.7857142857142856,14,595,0.10354724782496338,active
25,4.0,10,368,0.06376834065523874,inactive
26,3.6666666666666665,3,206,0.02049903810262153,new
27,4.08,25,721,0.15714416975335227,active
28,3.5,2,182,0.014221724524076149,new
29,3.6666666666666665,3,226,0.022738679759956353,new
30,4.0,2,165,0.012318029115341545,new
31,3.25,4,279,0.03226347374163723,new
32,4.0,3,205,0.02038705601975479,new
33,4.5,4,254,0.029463921669968703,new
34,3.0,2,182,0.014221724524076149,new
35,3.0491803278688523,122,1552,0.5984064088207426,very_active
36,4.4375,16,455,0.09504924340310678,active
37,4.333333333333333,3,241,0.024418411002957476,new
38,4.0,3,155,0.01478795187641772,new
39,5.0,2,178,0.013773796192609182,new
40,4.0,19,613,0.12351164326528266,active
41,4.220338983050848,59,893,0.29845637005771386,active
42,4.5,4,148,0.01759382088609412,new
43,4.0,2,172,0.013101903695408734,new
44,3.7142857142857144,7,356,0.05165532489160708,inactive
45,4.0,2,68,0.0014557670772676371,new
46,4.388888888888889,36,670,0.19092026301432796,active
47,3.588235294117647,34,885,0.20781692365119014,active
48,3.6666666666666665,3,187,0.018371378528153442,new
49,3.0,27,877,0.18179286186005109,active
50,3.5,2,162,0.011982082866741321,new
51,4.0,12,620,0.09916731271714474,active
52,3.8095238095238093,21,881,0.1607023286530565,active
53,2.25,4,169,0.01994544462629569,new
54,3.4285714285714284,7,397,0.05624659028914347,inactive
55,3.0,6,325,0.04459413673299451,inactive
56,4.5,4,263,0.03047176041576937,new
57,3.3076923076923075,13,617,0.1024211100582881,active
58,4.0,5,246,0.03215780859677836,inactive
59,4.0,5,214,0.028574381945042637,new
60,3.3333333333333335,6,388,0.05164900795359921,inactive
61,3.3333333333333335,6,347,0.04705774255606282,inactive
62,4.153846153846154,13,584,0.09872570132368563,active
63,4.0,4,233,0.027112297929767132,new
64,4.0,2,145,0.010078387458006719,new
65,4.666666666666667,3,232,0.0234105722571568,new
66,4.0,3,150,0.014228041462084014,new
67,3.75,4,234,0.027224280012633877,new
68,3.0,2,119,0.007166853303471444,new
69,4.0,3,246,0.024978321417291182,new
70,3.0,2,127,0.008062709966405374,new
71,3.6666666666666665,3,227,0.022850661842823097,new
72,3.0,3,229,0.02307462600855658,new
73,4.333333333333333,3,226,0.022738679759956353,new
74,3.6666666666666665,3,163,0.01568380853935165,new
75,3.482142857142857,56,1085,0.3091876991988974,active
76,4.4,5,264,0.0341734860883797,new
77,2.5,2,107,0.0058230683090705485,new
78,2.25,4,180,0.021177247537829843,new
79,4.333333333333333,3,216,0.021618858931288943,new
80,3.0,2,131,0.00851063829787234,new
81,2.5,4,281,0.032487437907370714,new
82,4.027777777777778,36,1081,0.2369448990725586,active
83,4.5,2,181,0.014109742441209406,new
84,4.0,3,213,0.02128291268268872,new
85,3.6666666666666665,3,247,0.025090303500157923,new
86,4.5,4,236,0.02744824417836736,new
87,2.9523809523809526,21,471,0.11478967467769258,active
88,3.8333333333333335,6,369,0.049521348379131136,inactive
89,3.652173913043478,46,1260,0.29288712780314125,active
90,5.0,3,216,0.021618858931288943,new
91,3.6,5,238,0.03126195193384443,new
92,3.142857142857143,7,330,0.04874379073707181,inactive
93,3.6666666666666665,6,309,0.04280242340712666,inactive
