book_id,book_avg_rating,book_ratings_count,book_popularity
1,4.24,100,0.9250099667774085
2,4.21,100,0.9220498338870431
3,3.09,100,0.8115382059800664
4,4.46,100,0.9467176079734219
5,3.89,100,0.8904750830564784
6,4.09,100,0.9102093023255813
7,3.92,100,0.8934352159468437
8,3.83,100,0.8845548172757475
9,3.35,100,0.8371926910299002
10,4.18,100,0.9190897009966776
11,4.24,100,0.9250099667774085
12,3.79,100,0.8806079734219269
13,4.15,100,0.9161295681063123
14,3.86,100,0.8875149501661129
15,4.23,100,0.9240232558139535
16,3.98,100,0.8993554817275746
17,3.97,100,0.8983687707641195
18,4.16,100,0.9171162790697674
19,4.14,100,0.915142857142857
20,3.71,100,0.8727142857142857
21,4.16,100,0.9171162790697674
22,3.73,100,0.874687707641196
23,3.96,100,0.8973820598006644
24,4.21,100,0.9220498338870431
25,4.24,100,0.9250099667774085
26,3.44,100,0.8460730897009966
27,4.16,100,0.9171162790697674
28,3.91,100,0.8924485049833887
29,4.0,100,0.901328903654485
30,3.82,100,0.8835681063122922
31,4.29,100,0.9299435215946843
32,3.95,100,0.8963953488372093
33,3.89,100,0.8904750830564784
34,2.77,100,0.7799634551495016
35,3.63,100,0.8648205980066445
36,4.27,100,0.927970099667774
37,4.01,100,0.9023156146179401
38,3.83,100,0.8845548172757475
39,4.42,100,0.9427707641196013
40,3.41,100,0.8431129568106311
41,3.77,100,0.8786345514950166
42,4.13,100,0.9141561461794019
43,4.05,100,0.9062624584717608
44,3.21,100,0.8233787375415281
45,3.91,100,0.8924485049833887
46,3.9,100,0.8914617940199335
47,4.32,100,0.9329036544850497
48,4.15,100,0.9161295681063123
49,3.11,100,0.8135116279069767
50,4.26,100,0.9269833887043188
51,3.62,100,0.8638338870431893
52,3.09,100,0.8115382059800664
53,3.42,100,0.8440996677740863
54,3.99,100,0.9003421926910299
55,3.77,100,0.8786345514950166
56,3.16,100,0.8184451827242525
57,3.99,100,0.9003421926910299
58,3.91,100,0.8924485049833887
59,4.05,100,0.9062624584717608
60,3.82,100,0.8835681063122922
61,3.7,100,0.8717275747508305
62,3.8,100,0.881594684385382
63,3.86,100,0.8875149501661129
64,3.75,100,0.8766611295681063
65,4.02,100,0.9033023255813952
66,4.14,100,0.915142857142857
67,3.96,100,0.8973820598006644
68,3.91,100,0.8924485049833887
69,3.57,100,0.8589003322259136
70,4.15,100,0.9161295681063123
71,3.65,100,0.8667940199335548
72,3.95,100,0.8963953488372093
73,3.48,100,0.8500199335548172
74,3.98,100,0.8993554817275746
75,3.47,100,0.849033222591362
76,3.82,100,0.8835681063122922
77,4.05,100,0.9062624584717608
78,3.32,100,0.8342325581395348
79,3.91,100,0.8924485049833887
80,4.17,100,0.9181029900332225
81,3.93,100,0.894421926910299
82,4.02,100,0.9033023255813952
83,3.59,100,0.8608737541528239
